airline_sentiment,text,roberta_sentiment
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,0.018378665670752525
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,0.9601778388023376
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,0.7784050107002258
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,0.9856417775154114
neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,0.27159276604652405
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,0.09603653103113174
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,0.7278609871864319
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,-0.7694730162620544
neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",0.9729332327842712
neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",-0.06523282825946808
positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,0.9666968584060669
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,-0.5613506436347961
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,-0.7511365413665771
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",0.054323598742485046
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,0.9737308025360107
negative,@VirginAmerica everything was fine until you lost my bag,-0.3932605981826782
neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,-0.0034450292587280273
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,0.027543898671865463
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",-0.06818759441375732
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,-0.5822104215621948
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",0.964809775352478
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,0.863106369972229
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",0.9444205164909363
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,0.2834727168083191
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,-0.6404382586479187
neutral,@VirginAmerica what happened to Doom?!,-0.35628756880760193
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,-0.7528499960899353
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,0.9029626846313477
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,-0.1255303919315338
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,-0.9221430420875549
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,-0.9260854721069336
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,-0.6809783577919006
neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,-0.6930614709854126
neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,0.04760929197072983
neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,-0.441555917263031
negative,@VirginAmerica Why is the site down?  When will it be back up?,-0.5559070706367493
neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",0.4650859832763672
neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",-0.5560153126716614
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,-0.20998983085155487
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",-0.9028868675231934
neutral,@VirginAmerica why is flight 345 redirected?,-0.4091489613056183
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",-0.9327780604362488
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,-0.8271903991699219
negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,-0.7899889945983887
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,-0.39040473103523254
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,-0.9349926114082336
neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,0.27733632922172546
negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,-0.9170349836349487
neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn,0.4564688801765442
negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,-0.4535224437713623
negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,-0.914449155330658
positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",0.9837914109230042
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,0.8431474566459656
negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,-0.896516740322113
neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,-0.014308702200651169
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",0.9496968388557434
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",0.9553280472755432
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",0.9518975615501404
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0.954425573348999
positive,@VirginAmerica Have a great week 🌞✈,0.9835902452468872
positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,-0.11813713610172272
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",-0.7370907068252563
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",0.9667465686798096
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,0.9819362163543701
positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,0.8735183477401733
positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",0.9647156596183777
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,-0.5454245805740356
negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",-0.8624882102012634
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,-0.6259275674819946
positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,0.9549518823623657
positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,0.9823144674301147
neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",0.08907835930585861
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,-0.6216064691543579
positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,0.9853508472442627
neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,0.05841601639986038
neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,-0.5631598830223083
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,-0.9171345233917236
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,-0.9444931745529175
neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0.010180702432990074
negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,-0.9180030822753906
negative,@VirginAmerica Another delayed flight? #likingyoulessandless,0.30776727199554443
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,-0.41402921080589294
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,0.9807156324386597
neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",0.0503949336707592
positive,@VirginAmerica always!!! Xoxo,0.965930700302124
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,-0.9075437188148499
negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,-0.8095299005508423
positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,0.9751760959625244
neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,0.9258711338043213
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,-0.8061371445655823
positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,0.9854249954223633
negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-0.9238049387931824
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,-0.5141445398330688
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,0.9839608073234558
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,0.37656471133232117
negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,-0.8580385446548462
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,-0.4869178235530853
neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,-0.007428225129842758
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),0.9715261459350586
neutral,@VirginAmerica is your website ever coming back online?,-0.0929047167301178
neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",-0.30528169870376587
neutral,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,0.03416335582733154
neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,-0.4401877224445343
negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-0.8643349409103394
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,-0.662381649017334
negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",-0.871077835559845
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",-0.8685812950134277
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",-0.7740736603736877
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,-0.8818041682243347
negative,@VirginAmerica is the website down?,-0.49596861004829407
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,-0.8069718480110168
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,-0.8598552942276001
neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,0.07329807430505753
negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,-0.8416949510574341
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,-0.8288161754608154
neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0.04699491336941719
neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0.4325602650642395
neutral,@VirginAmerica Lister to my show my on Monday 1230 130,0.15084651112556458
neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0.044917985796928406
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",-0.8388035297393799
negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,-0.8873284459114075
neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.,0.06383957713842392
positive,@VirginAmerica Thank you for the follow,0.9371351003646851
negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,-0.9448451995849609
negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,-0.9319230914115906
neutral,@VirginAmerica @TTINAC11 I DM you,0.06486880779266357
neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,-0.07646679878234863
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,-0.879828929901123
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,-0.8673943281173706
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0.7426976561546326
positive,@VirginAmerica Only way to fly! #Elevate #Gold,0.9658522605895996
neutral,@VirginAmerica If only you guys had flights from CMH.,-0.011332646012306213
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",-0.946880578994751
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,-0.9513528347015381
neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,-0.5256537199020386
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!,0.8877076506614685
neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,0.031533852219581604
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,-0.9200208187103271
negative,@VirginAmerica you suck!,-0.9246121644973755
positive,@VirginAmerica thanks!,0.8865980505943298
negative,@VirginAmerica Just DM'd. Same issue persisting.,-0.3767930865287781
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,-0.7690563797950745
negative,@VirginAmerica trying to book a flight &amp; your site is down 😁,-0.746922492980957
negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,-0.8033589720726013
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,-0.9361910223960876
positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,0.9868072271347046
negative,@VirginAmerica Your website is down and I'm trying to check in!,-0.8390160202980042
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",0.9698936343193054
neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,-0.8602860569953918
positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,0.9723097085952759
positive,@VirginAmerica Keep up the great work :),0.9738706946372986
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,0.9524098038673401
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,0.9613338112831116
neutral,@VirginAmerica can you please get me to the new york area before monday afternoon,0.08803494274616241
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",0.983221709728241
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,-0.8388671875
negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,-0.9042001962661743
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,-0.7422924041748047
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,0.9822688698768616
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,-0.9020015597343445
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,-0.6027408242225647
neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",0.07410293817520142
negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",-0.8199154734611511
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,0.8903538584709167
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",-0.8379513025283813
negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,-0.08274982869625092
negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,-0.9046831130981445
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,-0.8429569602012634
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,0.9557404518127441
positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,0.9625929594039917
negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,-0.7696612477302551
neutral,"@VirginAmerica it’s just a bug report, guys",-0.09742622077465057
negative,@VirginAmerica hold times at call center are a bit much,-0.689785897731781
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ,0.10186013579368591
negative,@VirginAmerica Site down? #help,-0.6747231483459473
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,0.9810643196105957
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",0.9693810343742371
positive,@VirginAmerica thanks so much!,0.9694355130195618
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?",-0.7689304947853088
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",0.449501097202301
positive,@VirginAmerica Very nicely done. 👏,0.9609403014183044
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),0.9844094514846802
negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,-0.3509591519832611
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",-0.30910515785217285
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,0.981016993522644
positive,@VirginAmerica sounds like fun !,0.9675284028053284
neutral,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,0.01445155031979084
neutral,@virginamerica spruce moose!,0.3139784038066864
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",-0.9432976245880127
negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",-0.36917832493782043
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz",0.8484737873077393
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",-0.8166328072547913
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,0.972248375415802
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,0.9827771782875061
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,0.9520083069801331
negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",-0.9076979756355286
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,-0.7089933753013611
